OrderDate,Region,Category,SubCategory,Segment,Quantity,Sales,Profit,Discount,Month,ProfitMargin
2023-03-07,Europe,Technology,Copiers,Corporate,1,202.16,0.85,0.15,2023-03-01,0.004204590423426988
2024-01-11,Europe,Office Supplies,Binders,Home Office,3,167.34,56.4,0.0,2024-01-01,0.33703836500537826
2023-03-09,North America,Technology,Accessories,Corporate,2,544.14,-210.98,0.4,2023-03-01,-0.3877310986143272
2024-05-10,North America,Office Supplies,Art,Consumer,3,134.99,16.16,0.15,2024-05-01,0.11971257130157789
2023-10-28,Europe,Office Supplies,Paper,Consumer,2,56.48,23.3,0.0,2023-10-01,0.41253541076487255
2024-11-18,Latin America,Technology,Machines,Consumer,2,1191.54,322.83,0.0,2024-11-01,0.2709350924014301
2023-06-25,North America,Furniture,Bookcases,Consumer,3,984.62,-35.43,0.15,2023-06-01,-0.03598342507769495
2024-02-11,Asia Pacific,Furniture,Tables,Consumer,1,270.36,11.69,0.1,2024-02-01,0.04323864476993638
2024-02-25,Europe,Office Supplies,Storage,Consumer,2,54.98,20.37,0.0,2024-02-01,0.3704983630411059
2024-12-26,North America,Furniture,Furnishings,Consumer,3,1330.06,90.35,0.1,2024-12-01,0.06792926634888652
2024-12-29,Europe,Technology,Accessories,Consumer,2,933.28,41.39,0.15,2024-12-01,0.04434896279787417
2024-06-08,Europe,Furniture,Chairs,Corporate,3,796.56,172.07,0.0,2024-06-01,0.21601637039268856
2024-03-19,North America,Furniture,Tables,Home Office,3,512.31,145.99,0.0,2024-03-01,0.2849641818430248
2023-07-12,Asia Pacific,Office Supplies,Art,Consumer,1,38.78,11.39,0.0,2023-07-01,0.2937080969571944
2024-06-11,Asia Pacific,Furniture,Tables,Home Office,3,672.11,148.6,0.0,2024-06-01,0.22109476127419617
2023-04-13,Asia Pacific,Furniture,Bookcases,Consumer,3,1106.79,263.24,0.0,2023-04-01,0.23784096350707903
2024-05-10,Asia Pacific,Furniture,Chairs,Home Office,2,255.19,12.48,0.1,2024-05-01,0.0489047376464595
2023-04-21,Europe,Technology,Copiers,Consumer,5,3665.02,-987.64,0.3,2023-04-01,-0.26947738347948985
2024-02-01,North America,Office Supplies,Paper,Corporate,2,60.5,4.1,0.2,2024-02-01,0.06776859504132231
2024-02-01,Europe,Furniture,Chairs,Corporate,2,648.76,18.9,0.15,2024-02-01,0.029132498921018556
2024-03-25,North America,Furniture,Furnishings,Corporate,6,1036.71,-150.47,0.2,2024-03-01,-0.14514184294547172
2023-05-29,North America,Office Supplies,Art,Consumer,2,92.49,29.48,0.0,2023-05-01,0.3187371607741378
2024-12-09,Latin America,Technology,Copiers,Home Office,2,1212.24,328.48,0.0,2024-12-01,0.2709694449943906
2023-09-03,Europe,Furniture,Bookcases,Corporate,3,428.58,129.66,0.0,2023-09-01,0.3025339493210136
2023-02-19,North America,Furniture,Furnishings,Corporate,1,137.64,-5.47,0.15,2023-02-01,-0.03974135425748329
2023-12-31,North America,Furniture,Bookcases,Consumer,3,1332.6,289.93,0.0,2023-12-01,0.2175671619390665
2024-11-09,Asia Pacific,Furniture,Bookcases,Corporate,4,776.86,152.1,0.0,2024-11-01,0.19578817290116624
2024-12-12,Europe,Technology,Machines,Home Office,2,833.57,226.84,0.0,2024-12-01,0.27213071487697493
2023-04-19,North America,Furniture,Bookcases,Consumer,6,2373.5,-651.22,0.3,2023-04-01,-0.27437118179903097
2023-11-12,Latin America,Furniture,Tables,Consumer,1,279.51,59.22,0.0,2023-11-01,0.21187077385424494
2024-07-13,Latin America,Office Supplies,Storage,Consumer,1,41.27,-0.55,0.2,2024-07-01,-0.01332687181972377
2024-01-24,North America,Technology,Phones,Corporate,7,1545.73,180.97,0.1,2024-01-01,0.1170773679750021
2023-05-21,North America,Furniture,Furnishings,Home Office,3,651.26,98.51,0.0,2023-05-01,0.15126063323403866
2024-01-30,North America,Furniture,Chairs,Consumer,3,1015.84,241.35,0.0,2024-01-01,0.237586627815404
2024-12-20,Latin America,Technology,Accessories,Consumer,2,1880.69,224.35,0.1,2024-12-01,0.1192913239289835
2023-07-26,Europe,Office Supplies,Binders,Consumer,4,183.54,-34.36,0.3,2023-07-01,-0.18720714830554647
2024-09-03,Latin America,Technology,Copiers,Corporate,3,1134.81,16.82,0.15,2024-09-01,0.014821864453080253
2024-08-26,Europe,Technology,Accessories,Consumer,2,806.95,194.8,0.0,2024-08-01,0.24140281306152797
2023-11-13,Europe,Furniture,Tables,Consumer,4,1283.27,214.76,0.0,2023-11-01,0.16735371355988996
2023-06-22,Middle East & Africa,Technology,Machines,Consumer,4,1871.08,-71.2,0.2,2023-06-01,-0.03805288924043868
2023-05-28,Europe,Office Supplies,Art,Consumer,4,91.9,11.99,0.15,2023-05-01,0.13046789989118607
2024-11-27,North America,Technology,Accessories,Consumer,1,505.8,-205.31,0.4,2024-11-01,-0.4059114274416765
2023-10-25,Latin America,Technology,Accessories,Home Office,3,654.59,180.41,0.0,2023-10-01,0.27560763225836016
2023-04-05,Asia Pacific,Office Supplies,Storage,Corporate,3,137.38,38.03,0.0,2023-04-01,0.27682340952103657
2023-04-12,North America,Furniture,Furnishings,Consumer,3,950.35,19.66,0.15,2023-04-01,0.020687115273320355
2024-06-18,Latin America,Technology,Machines,Consumer,1,396.42,110.67,0.0,2024-06-01,0.2791736037535947
2023-03-05,Europe,Office Supplies,Art,Corporate,1,27.63,2.82,0.2,2023-03-01,0.10206297502714441
2023-04-13,Middle East & Africa,Technology,Machines,Home Office,3,2037.7,-0.36,0.1,2023-04-01,-0.0001766697747460372
2023-12-16,Asia Pacific,Furniture,Bookcases,Consumer,1,203.7,36.73,0.0,2023-12-01,0.18031418753068237
2023-01-09,Middle East & Africa,Technology,Machines,Consumer,1,387.23,109.57,0.0,2023-01-01,0.28295844846731916
2023-02-01,Middle East & Africa,Technology,Phones,Corporate,4,1346.39,302.62,0.0,2023-02-01,0.22476399854425536
2023-11-28,Asia Pacific,Furniture,Chairs,Home Office,3,986.32,257.9,0.0,2023-11-01,0.26147700543434177
2024-08-22,Latin America,Furniture,Bookcases,Home Office,1,301.37,-75.38,0.3,2024-08-01,-0.2501244317616219
2024-09-10,Latin America,Furniture,Bookcases,Consumer,5,1251.6,-162.36,0.2,2024-09-01,-0.12972195589645255
2024-08-17,North America,Office Supplies,Storage,Corporate,5,103.25,33.86,0.0,2024-08-01,0.32794188861985474
2023-01-04,Latin America,Technology,Phones,Consumer,2,571.63,-327.38,0.5,2023-01-01,-0.5727131186256844
2024-02-01,Asia Pacific,Office Supplies,Art,Consumer,4,113.73,31.09,0.1,2024-02-01,0.2733667458014596
2023-07-08,Middle East & Africa,Furniture,Bookcases,Consumer,3,1388.35,310.25,0.0,2023-07-01,0.22346670508157165
2024-11-23,North America,Office Supplies,Paper,Corporate,2,128.74,38.69,0.0,2024-11-01,0.30052819636476613
2024-11-24,North America,Furniture,Bookcases,Consumer,5,2476.4,191.64,0.1,2024-11-01,0.07738652883217573
2024-03-07,Asia Pacific,Office Supplies,Storage,Consumer,2,109.79,41.75,0.0,2024-03-01,0.38027142727024316
2024-01-20,Europe,Technology,Machines,Home Office,3,1100.58,67.16,0.1,2024-01-01,0.06102237002307874
2023-06-29,Latin America,Office Supplies,Paper,Consumer,3,182.14,66.61,0.0,2023-06-01,0.3657076973756451
2024-02-18,North America,Office Supplies,Paper,Corporate,2,19.29,2.47,0.2,2024-02-01,0.12804561949196477
2024-06-02,Asia Pacific,Furniture,Chairs,Consumer,2,993.07,-47.65,0.15,2024-06-01,-0.04798251885566979
2024-07-17,Asia Pacific,Office Supplies,Storage,Corporate,2,110.67,28.05,0.1,2024-07-01,0.2534562211981567
2024-06-04,Latin America,Technology,Phones,Corporate,1,613.43,202.55,0.0,2024-06-01,0.33019252400436894
2024-09-08,North America,Technology,Machines,Consumer,5,1659.42,394.23,0.0,2024-09-01,0.23757095852767834
2024-11-18,North America,Office Supplies,Binders,Consumer,4,37.59,11.11,0.0,2024-11-01,0.2955573290768821
2024-09-06,Asia Pacific,Office Supplies,Art,Corporate,2,85.69,35.59,0.0,2024-09-01,0.41533434473100717
2024-10-06,Latin America,Office Supplies,Paper,Corporate,6,222.21,-30.59,0.3,2024-10-01,-0.13766257144142927
2023-03-29,Europe,Office Supplies,Art,Corporate,1,37.26,-3.63,0.3,2023-03-01,-0.09742351046698873
2023-10-14,Europe,Furniture,Chairs,Consumer,2,595.97,87.96,0.0,2023-10-01,0.14759132171082434
2024-02-19,North America,Technology,Phones,Corporate,1,457.32,113.13,0.0,2024-02-01,0.24737601679349253
2024-04-20,Asia Pacific,Technology,Copiers,Corporate,1,464.33,-18.03,0.15,2024-04-01,-0.038830142355652235
2024-04-19,Asia Pacific,Technology,Accessories,Home Office,3,1824.7,-2.18,0.15,2024-04-01,-0.0011947169397709212
2023-01-04,North America,Technology,Phones,Consumer,4,1549.65,-548.93,0.4,2023-01-01,-0.3542283741490013
2023-02-24,North America,Office Supplies,Art,Corporate,3,124.68,36.87,0.0,2023-02-01,0.2957170356111645
2024-11-27,North America,Technology,Phones,Corporate,3,1159.65,64.58,0.15,2024-11-01,0.05568921657396628
2023-10-07,North America,Office Supplies,Binders,Home Office,3,128.34,20.99,0.15,2023-10-01,0.16354994545737883
2024-07-09,Latin America,Technology,Machines,Consumer,1,634.07,-50.89,0.2,2024-07-01,-0.08025927736685223
2024-06-02,Europe,Office Supplies,Storage,Home Office,1,52.93,16.16,0.0,2024-06-01,0.30530889854524845
2023-11-07,Middle East & Africa,Office Supplies,Art,Consumer,2,130.41,-63.06,0.5,2023-11-01,-0.4835518748562227
2024-06-21,Europe,Technology,Accessories,Consumer,2,1324.02,383.12,0.0,2024-06-01,0.2893611878974638
2024-02-10,Europe,Office Supplies,Binders,Consumer,2,26.15,2.48,0.15,2024-02-01,0.09483747609942639
2024-12-17,Latin America,Furniture,Tables,Consumer,3,868.55,16.71,0.15,2024-12-01,0.0192389614875367
2024-03-29,North America,Office Supplies,Storage,Consumer,3,216.77,51.89,0.1,2024-03-01,0.23937814273192784
2024-03-03,Europe,Office Supplies,Art,Home Office,2,67.81,28.45,0.0,2024-03-01,0.41955463795900305
2023-08-22,Asia Pacific,Technology,Phones,Corporate,2,952.45,-401.3,0.4,2023-08-01,-0.4213344532521392
